Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150
